ESA_ID,GLOBIO,Representative source,eff_n,load_n,ARIES Class,c_factor_ARIES,nathab
0,No Data,,,,,,0
1,Urban,"UK ""urban""; CR ""infrastructure""",0.05,7,landcover:ArtificialSurface,0.1,0
2,Cropland,"UK ""Arable and Horticulture""; CR ""other crops""",0.25,use raster,landcover:ArableLand,0.5,0
3,Pasture,"UK ""improved grassland"" (note: I don't know why the N loading for this is so low; I would expect it to be higher. Maybe need to look this up separately)",0.1,10,landcover:Pastureland,0.2,2
4,Rangeland,"UK ""rough grassland"" ",0.25,17,landcover:ScrubHerbaceousVegetation,0.08,2
5,Forestry,"UK ""woodland""; CR ""forest""",0.8,5,landcover:Forest,0.001,2
6,Secondary vegetation,"midway between UK ""woodland"" and UK ""grassland""",0.6,6,landcover:TransitionalWoodlandScrub,0.01,1
7,Undefined,"CR ""unknown""",0.05,0.001,,,0
50,"Tree cover, broadleaved, evergreen, closed to open (>15%)","UK ""woodland""",0.8,5,landcover:Forest,0.001,1
60,"Tree cover, broadleaved, deciduous, closed to open (>15%)","UK ""woodland""",0.8,5,landcover:Forest,0.001,1
61,"Tree cover, broadleaved, deciduous, closed (>40%)","UK ""woodland""",0.8,5,landcover:Forest,0.001,1
62,"Tree cover, broadleaved, deciduous, open (15?40%)","UK ""woodland""",0.8,5,landcover:Forest,0.001,1
70,"Tree cover, needle-leaved, evergreen, closed to open (>15%)","UK ""woodland""",0.8,5,landcover:Forest,0.001,1
71,"Tree cover, needle-leaved, evergreen, closed (>40%)","UK ""woodland""",0.8,5,landcover:Forest,0.001,1
72,"Tree cover, needle-leaved, evergreen, open (15?40%)","UK ""woodland""",0.8,5,landcover:Forest,0.001,1
80,"Tree cover, needle-leaved, deciduous, closed to open (>15%)","UK ""woodland""",0.8,5,landcover:Forest,0.001,1
81,"Tree cover, needle-leaved, deciduous, closed (>40%)","UK ""woodland""",0.8,5,landcover:Forest,0.001,1
82,"Tree cover, needle-leaved, deciduous, open (15?40%)","UK ""woodland""",0.8,5,landcover:Forest,0.001,1
90,"Tree cover, mixed leaf type (broadleaved and needle-leaved)","UK ""woodland""",0.8,5,landcover:Forest,0.001,1
100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),"midway between UK ""woodland"" and UK ""grassland""",0.6,6,landcover:TransitionalWoodlandScrub,0.01,1
101,Tropical and Subtropical Moist Broadleaf Forests,,0.8,5,landcover:Forest,0.001,1
102,Tropical and Subtropical Dry Broadleaf Forests,,0.8,5,landcover:Forest,0.001,1
